polyhedron,random_seed,dimension,vertices,boundary_facets,query_points,maximizer_p_k,W(Q;G),omega_0,algorithm_1_full_G_time_seconds,pointwise_singletons_time_seconds,full_G_speedup_vs_singletons,membership_tests,feasible_pairs,full_G_ell_evaluations,pointwise_ell_evaluations,pairwise_prunes,global_prunes
Q_1,20260840,3,6,8,20,8,0.5475405249860466,0.5057141959216979,0.016973268999208813,0.022533477000251878,1.3275861592308615,23,23,23,33,2,18
Q_2,20260841,3,6,8,20,19,0.8340694025343812,0.7361286464473455,0.025392224999450264,0.05165092300012475,2.0341235555861283,55,38,38,87,1,19
Q_3,20260842,3,6,8,20,8,0.9290164263104947,0.7432435109573875,0.022790708999309572,0.0332791159999033,1.4602053846113985,53,33,33,53,1,19
Q_4,20260843,3,6,8,20,10,0.6849535620912413,0.5530488919832053,0.0329150240013405,0.04901560400139715,1.4891559550253082,106,46,46,76,3,17
Q_5,20260844,3,6,8,20,19,0.5234453465747755,0.45297086636016515,0.020006554001156474,0.029116398000041954,1.4553429840220804,38,28,28,46,1,19
Q_6,20260845,3,6,8,20,2,0.6626558688288577,0.589317547721192,0.018838707999748294,0.025154340000881348,1.3352476189565354,34,25,25,37,3,17
